Range Pasal,Bab
1-3,KITAB UNDANG-UNDANG HUKUM PERDATA
4-16,AKTA-AKTA CATATAN SIPIL
17-25,TEMPAT TINGGAL ATAU DOMISILI
26-49,PERKAWINAN
5-118,Acara yang Harus Mendahului Perkawinan
119-138,HARTA BERSAMA MENURUT UNDANG-UNDANG DAN PENGURUSANNYA
139-179,PERJANJIAN KAWIN
180-185,"GABUNGAN HARTA BERSAMA ATAU PERJANJIAN KAWIN PADA PERKAWINAN KEDUA
ATAU SELANJUTNYA"
186-198,PEMISAHAN HARTA BENDA
199-232a,PEMBUBARAN PERKAWINAN
233-249,PISAH MEJA DAN RANJANG
250-289,KEBAPAKAN DAN ASAL KETURUNAN ANAK-ANAK
290-297,KEKELUARGAAN SEDARAH DAN SEMENDA
298-329,KEKUASAAN ORANG TUA
329-329b,"PENENTUAN, PERUBAHAN DAN PENCABUTAN TUNJANGAN NAFKAH"
330-418,KEBELUMDEWASAAN DAN PERWALIAN
419-432,PENDEWASAAN
433-462,PENGAMPUAN
463-495,KETIDAKHADIRAN